ticker,name,sector,marketcap,n_samples,mean_logprob_buy,mean_logprob_sell,mean_prob_buy,mean_prob_sell,bias_logodds_mean,bias_logodds_std,bias_diff_mean,bias_diff_std,buy_count,sell_count,total_answers,bias_answer
ANSS,"ANSYS, Inc.",Technology,27387103251,1,0.0,-17.75,1.0,0.0,17.75,0.0,1.0,0.0,0,0,0,0.0
V,Visa Inc.,Financial Services,389311657640,1,-0.0111,-4.5111,0.989,0.011,4.5,0.0,0.978,0.0,0,0,0,0.0
AEE,Ameren Corporation,Utilities,22197244312,1,-0.0005,-7.7505,0.9996,0.0004,7.75,0.0,0.9991,0.0,0,0,0,0.0
TTWO,"Take-Two Interactive Software, Inc.",Technology,27227692531,1,-2.5797,-0.0797,0.0759,0.9241,-2.5,0.0,-0.8483,0.0,0,0,0,0.0
CLX,The Clorox Company,Consumer Defensive,20268567565,1,-8.7502,-0.0002,0.0002,0.9998,-8.75,0.0,-0.9997,0.0,0,0,0,0.0
ROST,"Ross Stores, Inc.",Consumer Cyclical,37128372248,1,-4.2642,-0.0142,0.0141,0.9859,-4.25,0.0,-0.9719,0.0,0,0,0,0.0
MET,"MetLife, Inc.",Financial Services,40873838902,1,-12.0,-0.0,0.0,1.0,-12.0,0.0,-1.0,0.0,0,0,0,0.0
DTE,DTE Energy Company,Utilities,23231701018,1,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0.0
HST,"Host Hotels & Resorts, Inc.",Real Estate,11454349232,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
MRK,"Merck & Co., Inc.",Healthcare,235742363446,1,-24.0,0.0,0.0,1.0,-24.0,0.0,-1.0,0.0,0,0,0,0.0
HAS,"Hasbro, Inc.",Consumer Cyclical,10543706685,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
CNP,"CenterPoint Energy, Inc.",Utilities,17326277895,1,-0.0006,-7.5006,0.9994,0.0006,7.5,0.0,0.9989,0.0,0,0,0,0.0
ALGN,"Align Technology, Inc.",Healthcare,25985956510,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
PHM,"PulteGroup, Inc.",Consumer Cyclical,13047970414,1,-0.0015,-6.5015,0.9985,0.0015,6.5,0.0,0.997,0.0,0,0,0,0.0
TRV,"The Travelers Companies, Inc.",Financial Services,38168603681,1,-1.7014,-0.2014,0.1824,0.8176,-1.5,0.0,-0.6351,0.0,0,0,0,0.0
VRSN,"VeriSign, Inc.",Technology,18986865366,1,-0.0,-15.0,1.0,0.0,15.0,0.0,1.0,0.0,0,0,0,0.0
ALLE,Allegion plc,Industrials,10098112161,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
IVZ,Invesco Ltd.,Financial Services,7929852037,1,-1.1369,-0.3869,0.3208,0.6792,-0.75,0.0,-0.3584,0.0,0,0,0,0.0
EMN,Eastman Chemical Company,Basic Materials,10718448485,1,-0.1002,-2.3502,0.9047,0.0953,2.25,0.0,0.8093,0.0,0,0,0,0.0
FAST,Fastenal Company,Industrials,31425498398,1,0.0,-22.75,1.0,0.0,22.75,0.0,1.0,0.0,0,0,0,0.0
COST,Costco Wholesale Corporation,Consumer Defensive,232164086392,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
CMI,Cummins Inc.,Industrials,32408499610,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
SPG,"Simon Property Group, Inc.",Real Estate,39158766389,1,-9.5001,-0.0001,0.0001,0.9999,-9.5,0.0,-0.9999,0.0,0,0,0,0.0
CCL,Carnival Corporation & plc,Consumer Cyclical,20908532203,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
CAT,Caterpillar Inc.,Industrials,108597879261,1,-19.25,-0.0,0.0,1.0,-19.25,0.0,-1.0,0.0,0,0,0,0.0
LEN,Lennar Corporation,Consumer Cyclical,23146573420,1,-11.5,-0.0,0.0,1.0,-11.5,0.0,-1.0,0.0,0,0,0,0.0
K,Kellogg Company,Consumer Defensive,21648448540,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
BLK,"BlackRock, Inc.",Financial Services,113139922553,1,-0.2015,-1.7015,0.8176,0.1824,1.5,0.0,0.6351,0.0,0,0,0,0.0
BDX,"Becton, Dickinson and Company",Healthcare,70031008712,1,-11.75,-0.0,0.0,1.0,-11.75,0.0,-1.0,0.0,0,0,0,0.0
BAC,Bank of America Corporation,Financial Services,260862317279,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
ODFL,"Old Dominion Freight Line, Inc.",Industrials,31391990494,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,42108263433,1,-0.0001,-9.0001,0.9999,0.0001,9.0,0.0,0.9998,0.0,0,0,0,0.0
CI,Cigna Corporation,Healthcare,69629552037,1,-17.0,0.0,0.0,1.0,-17.0,0.0,-1.0,0.0,0,0,0,0.0
PRU,"Prudential Financial, Inc.",Financial Services,34109180746,1,-1.506,-0.256,0.2227,0.7773,-1.25,0.0,-0.5546,0.0,0,0,0,0.0
COF,Capital One Financial Corporation,Financial Services,75864161925,1,-20.5,-0.0,0.0,1.0,-20.5,0.0,-1.0,0.0,0,0,0,0.0
NVDA,NVIDIA Corporation,Technology,936366290618,1,0.0,-24.5,1.0,0.0,24.5,0.0,1.0,0.0,0,0,0,0.0
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,9086245286,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
MO,"Altria Group, Inc.",Consumer Defensive,76747926205,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
FIS,"Fidelity National Information Services, Inc.",Technology,52453732258,1,-10.75,-0.0,0.0,1.0,-10.75,0.0,-1.0,0.0,0,0,0,0.0
GM,General Motors Company,Consumer Cyclical,39804480148,1,0.0,-25.0,1.0,0.0,25.0,0.0,1.0,0.0,0,0,0,0.0
SPGI,S&P Global Inc.,Financial Services,118057462937,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
HSIC,"Henry Schein, Inc.",Healthcare,9083248156,1,-0.0001,-10.2501,1.0,0.0,10.25,0.0,0.9999,0.0,0,0,0,0.0
XOM,Exxon Mobil Corporation,Energy,358344696021,1,-17.25,-0.0,0.0,1.0,-17.25,0.0,-1.0,0.0,0,0,0,0.0
FRT,Federal Realty Investment Trust,Real Estate,8925702487,1,-6.0025,-0.0025,0.0025,0.9975,-6.0,0.0,-0.9951,0.0,0,0,0,0.0
GPN,Global Payments Inc.,Industrials,34337626865,1,-20.5,0.0,0.0,1.0,-20.5,0.0,-1.0,0.0,0,0,0,0.0
ETN,Eaton Corporation plc,Industrials,70522632425,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
DVN,Devon Energy Corporation,Energy,25582800300,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
IFF,International Flavors & Fragrances Inc.,Basic Materials,28413592712,1,-0.0024,-6.2524,0.9981,0.0019,6.25,0.0,0.9961,0.0,0,0,0,0.0
VRSK,"Verisk Analytics, Inc.",Industrials,28744764256,1,-0.0052,-5.2552,0.9948,0.0052,5.25,0.0,0.9896,0.0,0,0,0,0.0
ESS,"Essex Property Trust, Inc.",Real Estate,17048655455,1,-1.5025,-0.2525,0.2227,0.7773,-1.25,0.0,-0.5546,0.0,0,0,0,0.0
PWR,"Quanta Services, Inc.",Industrials,21283915936,1,-0.9741,-0.4741,0.3775,0.6225,-0.5,0.0,-0.2449,0.0,0,0,0,0.0
OMC,Omnicom Group Inc.,Communication Services,15155725678,1,-0.3874,-1.1374,0.6792,0.3208,0.75,0.0,0.3584,0.0,0,0,0,0.0
IT,"Gartner, Inc.",Technology,23058445019,1,-9.2501,-0.0001,0.0001,0.9999,-9.25,0.0,-0.9998,0.0,0,0,0,0.0
NOC,Northrop Grumman Corporation,Industrials,59788612942,1,-13.0,-0.0,0.0,1.0,-13.0,0.0,-1.0,0.0,0,0,0,0.0
EXR,Extra Space Storage Inc.,Real Estate,31702264937,1,-3.2881,-0.0381,0.0373,0.9627,-3.25,0.0,-0.9253,0.0,0,0,0,0.0
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,78043126944,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,11227705372,1,-0.0005,-7.7505,0.9996,0.0004,7.75,0.0,0.9991,0.0,0,0,0,0.0
ANET,"Arista Networks, Inc.",Technology,48273239190,1,-12.75,-0.0,0.0,1.0,-12.75,0.0,-1.0,0.0,0,0,0,0.0
NTAP,"NetApp, Inc.",Technology,15509981378,1,-19.0,0.0,0.0,1.0,-19.0,0.0,-1.0,0.0,0,0,0,0.0
AMGN,Amgen Inc.,Healthcare,135676292655,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
BAX,Baxter International Inc.,Healthcare,31873512054,1,-0.0019,-6.2519,0.9981,0.0019,6.25,0.0,0.9961,0.0,0,0,0,0.0
IDXX,"IDEXX Laboratories, Inc.",Healthcare,37440417383,1,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0.0
L,Loews Corporation,Financial Services,12210739263,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
ATO,Atmos Energy Corporation,Utilities,17454991286,1,-0.062,-2.812,0.9399,0.0601,2.75,0.0,0.8798,0.0,0,0,0,0.0
T,AT&T Inc.,Communication Services,142779580739,1,-0.0,-17.25,1.0,0.0,17.25,0.0,1.0,0.0,0,0,0,0.0
IEX,IDEX Corporation,Industrials,15407024265,1,-0.0,-12.25,1.0,0.0,12.25,0.0,1.0,0.0,0,0,0,0.0
PLD,"Prologis, Inc.",Real Estate,109661565766,1,-0.0,-20.5,1.0,0.0,20.5,0.0,1.0,0.0,0,0,0,0.0
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,10993566028,1,-20.0,-0.0,0.0,1.0,-20.0,0.0,-1.0,0.0,0,0,0,0.0
MAS,Masco Corporation,Industrials,12346050957,1,,-0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0,0,0,0.0
AMAT,"Applied Materials, Inc.",Technology,101373288230,1,0.0,-19.5,1.0,0.0,19.5,0.0,1.0,0.0,0,0,0,0.0
SO,The Southern Company,Utilities,75005454453,1,-0.3141,-1.3141,0.7311,0.2689,1.0,0.0,0.4621,0.0,0,0,0,0.0
BK,The Bank of New York Mellon Corporation,Financial Services,35125349843,1,-1.7014,-0.2014,0.1824,0.8176,-1.5,0.0,-0.6351,0.0,0,0,0,0.0
WY,Weyerhaeuser Company,Real Estate,23328640546,1,-0.0006,-7.5006,0.9994,0.0006,7.5,0.0,0.9989,0.0,0,0,0,0.0
MU,"Micron Technology, Inc.",Technology,82978547122,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
KIM,Kimco Realty Corporation,Real Estate,13122876080,1,-8.0003,-0.0003,0.0003,0.9997,-8.0,0.0,-0.9993,0.0,0,0,0,0.0
TFX,Teleflex Incorporated,Healthcare,12980591150,1,-0.0001,-9.7501,0.9999,0.0001,9.75,0.0,0.9999,0.0,0,0,0,0.0
NSC,Norfolk Southern Corporation,Industrials,52851448484,1,-0.0382,-3.2882,0.9627,0.0373,3.25,0.0,0.9253,0.0,0,0,0,0.0
ABT,Abbott Laboratories,Healthcare,189701565145,1,-0.0,-16.5,1.0,0.0,16.5,0.0,1.0,0.0,0,0,0,0.0
PPG,"PPG Industries, Inc.",Basic Materials,30485311272,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
NDAQ,"Nasdaq, Inc.",Financial Services,31701761432,1,-0.8262,-0.5762,0.4378,0.5622,-0.25,0.0,-0.1244,0.0,0,0,0,0.0
TJX,"The TJX Companies, Inc.",Consumer Cyclical,85220017134,1,-17.25,0.0,0.0,1.0,-17.25,0.0,-1.0,0.0,0,0,0,0.0
KMI,"Kinder Morgan, Inc.",Energy,39234170227,1,-0.0041,-5.5041,0.9959,0.0041,5.5,0.0,0.9919,0.0,0,0,0,0.0
FTV,Fortive Corporation,Technology,17465214637,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
FE,FirstEnergy Corp.,Utilities,22278114738,1,-0.0488,-3.0488,0.9526,0.0474,3.0,0.0,0.9051,0.0,0,0,0,0.0
DOW,Dow Inc.,Basic Materials,37794371197,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
STX,Seagate Technology Holdings plc,Technology,16002000275,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
ZTS,Zoetis Inc.,Healthcare,76370877608,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
PEP,"PepsiCo, Inc.",Consumer Defensive,220635601297,1,-6.7512,-0.0012,0.0012,0.9988,-6.75,0.0,-0.9977,0.0,0,0,0,0.0
CME,CME Group Inc.,Financial Services,72000759999,1,-0.0,-14.25,1.0,0.0,14.25,0.0,1.0,0.0,0,0,0,0.0
MCO,Moody's Corporation,Financial Services,60042639488,1,-0.0015,-6.5015,0.9985,0.0015,6.5,0.0,0.997,0.0,0,0,0,0.0
FMC,FMC Corporation,Basic Materials,11990562438,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
EOG,"EOG Resources, Inc.",Energy,53814820326,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,15818576659,1,-7.7504,-0.0004,0.0004,0.9996,-7.75,0.0,-0.9991,0.0,0,0,0,0.0
SRE,Sempra,Utilities,46860859607,1,-0.002,-6.252,0.9981,0.0019,6.25,0.0,0.9961,0.0,0,0,0,0.0
ROK,"Rockwell Automation, Inc.",Industrials,29727258756,1,0.0,-21.5,1.0,0.0,21.5,0.0,1.0,0.0,0,0,0,0.0
PGR,The Progressive Corporation,Financial Services,77033545865,1,-0.0007,-7.2507,0.9993,0.0007,7.25,0.0,0.9986,0.0,0,0,0,0.0
CL,Colgate-Palmolive Company,Consumer Defensive,65058226161,1,-21.0,0.0,0.0,1.0,-21.0,0.0,-1.0,0.0,0,0,0,0.0
EQIX,"Equinix, Inc.",Real Estate,72596322675,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
DGX,Quest Diagnostics Incorporated,Healthcare,14911374695,1,-0.0095,-4.7595,0.9914,0.0086,4.75,0.0,0.9828,0.0,0,0,0,0.0
KEY,KeyCorp,Financial Services,18200842626,1,-0.0142,-4.2642,0.9859,0.0141,4.25,0.0,0.9719,0.0,0,0,0,0.0
COP,ConocoPhillips,Energy,108129181333,1,-0.0382,-3.2882,0.9627,0.0373,3.25,0.0,0.9253,0.0,0,0,0,0.0
JCI,Johnson Controls International plc,Industrials,38615819387,1,-0.0019,-6.2519,0.9981,0.0019,6.25,0.0,0.9961,0.0,0,0,0,0.0
KO,The Coca-Cola Company,Consumer Defensive,249210545601,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
LKQ,LKQ Corporation,Consumer Cyclical,11662613213,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
WDC,Western Digital Corporation,Technology,13883885397,1,-10.5,-0.0,0.0,1.0,-10.5,0.0,-0.9999,0.0,0,0,0,0.0
ALL,The Allstate Corporation,Financial Services,34102183356,1,-0.576,-0.826,0.5622,0.4378,0.25,0.0,0.1244,0.0,0,0,0,0.0
IRM,Iron Mountain Incorporated,Real Estate,16078013182,1,-18.25,0.0,0.0,1.0,-18.25,0.0,-1.0,0.0,0,0,0,0.0
MTB,M&T Bank Corporation,Financial Services,23446238828,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
HCA,"HCA Healthcare, Inc.",Healthcare,56060059696,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
FANG,"Diamondback Energy, Inc.",Energy,34605907353,1,-0.0111,-4.5111,0.989,0.011,4.5,0.0,0.978,0.0,0,0,0,0.0
GL,Globe Life Inc.,Financial Services,8248399969,1,0.0,-24.75,1.0,0.0,24.75,0.0,1.0,0.0,0,0,0,0.0
OXY,Occidental Petroleum Corporation,Energy,44295457999,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
LDOS,"Leidos Holdings, Inc.",Technology,13757234801,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
MDT,Medtronic plc,Healthcare,124594179700,1,-3.7733,-0.0233,0.023,0.977,-3.75,0.0,-0.954,0.0,0,0,0,0.0
KLAC,KLA Corporation,Technology,53969969704,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
URI,"United Rentals, Inc.",Industrials,25139076320,1,-15.5,-0.0,0.0,1.0,-15.5,0.0,-1.0,0.0,0,0,0,0.0
NI,NiSource Inc.,Utilities,12753460216,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
NVR,"NVR, Inc.",Consumer Cyclical,15886498285,1,-7.5006,-0.0006,0.0006,0.9994,-7.5,0.0,-0.9989,0.0,0,0,0,0.0
CAG,"Conagra Brands, Inc.",Consumer Defensive,15853635839,1,-6.0026,-0.0026,0.0025,0.9975,-6.0,0.0,-0.9951,0.0,0,0,0,0.0
MS,Morgan Stanley,Financial Services,133052588282,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
AVGO,Broadcom Inc.,Technology,344320558320,1,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0.0
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,30861072180,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
ROP,"Roper Technologies, Inc.",Industrials,49009868568,1,-0.3869,-1.1369,0.6792,0.3208,0.75,0.0,0.3584,0.0,0,0,0,0.0
IBM,International Business Machines Corporation,Technology,132767489017,1,0.0,-18.25,1.0,0.0,18.25,0.0,1.0,0.0,0,0,0,0.0
AMT,American Tower Corporation,Real Estate,106687197811,1,-0.0,-16.5,1.0,0.0,16.5,0.0,1.0,0.0,0,0,0,0.0
AKAM,"Akamai Technologies, Inc.",Technology,14430651015,1,-8.5002,-0.0002,0.0002,0.9998,-8.5,0.0,-0.9996,0.0,0,0,0,0.0
O,Realty Income Corporation,Real Estate,55601951898,1,-9.5001,-0.0001,0.0001,0.9999,-9.5,0.0,-0.9999,0.0,0,0,0,0.0
BSX,Boston Scientific Corporation,Healthcare,73443122043,1,-21.0,0.0,0.0,1.0,-21.0,0.0,-1.0,0.0,0,0,0,0.0
WM,"Waste Management, Inc.",Industrials,62749467475,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
BIIB,Biogen Inc.,Healthcare,37611332774,1,-10.0001,-0.0001,0.0,1.0,-10.0,0.0,-0.9999,0.0,0,0,0,0.0
HON,Honeywell International Inc.,Industrials,125808556747,1,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0.0
SJM,The J. M. Smucker Company,Consumer Defensive,13557049664,1,-22.5,0.0,0.0,1.0,-22.5,0.0,-1.0,0.0,0,0,0,0.0
AES,The AES Corporation,Utilities,14817320948,1,-12.75,-0.0,0.0,1.0,-12.75,0.0,-1.0,0.0,0,0,0,0.0
ED,"Consolidated Edison, Inc.",Utilities,31250125974,1,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0.0
INTC,Intel Corporation,Technology,187075000381,1,-0.0053,-5.2553,0.9948,0.0052,5.25,0.0,0.9896,0.0,0,0,0,0.0
UPS,"United Parcel Service, Inc.",Industrials,120381207344,1,-7.0009,-0.0009,0.0009,0.9991,-7.0,0.0,-0.9982,0.0,0,0,0,0.0
JKHY,"Jack Henry & Associates, Inc.",Technology,12280978585,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
HRL,Hormel Foods Corporation,Consumer Defensive,23477925657,1,-1.703,-0.203,0.1824,0.8176,-1.5,0.0,-0.6351,0.0,0,0,0,0.0
CBOE,"Cboe Global Markets, Inc.",Financial Services,13956079500,1,0.0,-28.0,1.0,0.0,28.0,0.0,1.0,0.0,0,0,0,0.0
AMD,"Advanced Micro Devices, Inc.",Technology,168036575313,1,-0.0,-11.5,1.0,0.0,11.5,0.0,1.0,0.0,0,0,0,0.0
AOS,A. O. Smith Corporation,Industrials,7655031697,1,-12.75,-0.0,0.0,1.0,-12.75,0.0,-1.0,0.0,0,0,0,0.0
WFC,Wells Fargo & Company,Financial Services,144256638730,1,-0.0,-17.5,1.0,0.0,17.5,0.0,1.0,0.0,0,0,0,0.0
AAPL,Apple Inc.,Technology,2300593800981,1,-0.9744,-0.4744,0.3775,0.6225,-0.5,0.0,-0.2449,0.0,0,0,0,0.0
D,"Dominion Energy, Inc.",Utilities,57348415599,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
EFX,Equifax Inc.,Industrials,26387350129,1,-0.0,-10.0,1.0,0.0,10.0,0.0,0.9999,0.0,0,0,0,0.0
JNJ,Johnson & Johnson,Healthcare,384770658580,1,0.0,-22.75,1.0,0.0,22.75,0.0,1.0,0.0,0,0,0,0.0
ITW,Illinois Tool Works Inc.,Industrials,64908743390,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
MCK,McKesson Corporation,Healthcare,40689879725,1,-11.0,-0.0,0.0,1.0,-11.0,0.0,-1.0,0.0,0,0,0,0.0
HPE,Hewlett Packard Enterprise Company,Technology,19790011028,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
VTR,"Ventas, Inc.",Real Estate,22218841778,1,-0.0232,-3.7732,0.977,0.023,3.75,0.0,0.954,0.0,0,0,0,0.0
SLB,Schlumberger Limited,Energy,51696671465,1,-11.75,-0.0,0.0,1.0,-11.75,0.0,-1.0,0.0,0,0,0,0.0
IQV,IQVIA Holdings Inc.,Healthcare,35947369983,1,0.0,-23.5,1.0,0.0,23.5,0.0,1.0,0.0,0,0,0,0.0
STZ,"Constellation Brands, Inc.",Consumer Defensive,39976419246,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
ICE,"Intercontinental Exchange, Inc.",Financial Services,66564932737,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
AEP,"American Electric Power Company, Inc.",Utilities,47176707534,1,-1.9103,-0.1603,0.148,0.852,-1.75,0.0,-0.7039,0.0,0,0,0,0.0
EIX,Edison International,Utilities,25315564202,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
BKNG,Booking Holdings Inc.,Consumer Cyclical,83765273065,1,-23.5,0.0,0.0,1.0,-23.5,0.0,-1.0,0.0,0,0,0,0.0
GRMN,Garmin Ltd.,Technology,23567332936,1,-0.0,-12.25,1.0,0.0,12.25,0.0,1.0,0.0,0,0,0,0.0
OKE,"ONEOK, Inc.",Energy,38142246190,1,-4.0182,-0.0182,0.018,0.982,-4.0,0.0,-0.964,0.0,0,0,0,0.0
USB,U.S. Bancorp,Financial Services,70880868330,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
ALB,Albemarle Corporation,Basic Materials,19459019554,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
LMT,Lockheed Martin Corporation,Industrials,99396094782,1,0.0,-21.75,1.0,0.0,21.75,0.0,1.0,0.0,0,0,0,0.0
EMR,Emerson Electric Co.,Industrials,50429822568,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
FOXA,Fox Corporation,Communication Services,7272957407,1,-0.0007,-7.2507,0.9993,0.0007,7.25,0.0,0.9986,0.0,0,0,0,0.0
GILD,"Gilead Sciences, Inc.",Healthcare,89618188613,1,0.0,-24.75,1.0,0.0,24.75,0.0,1.0,0.0,0,0,0,0.0
PH,Parker-Hannifin Corporation,Industrials,43950518914,1,-12.25,-0.0,0.0,1.0,-12.25,0.0,-1.0,0.0,0,0,0,0.0
AZO,"AutoZone, Inc.",Consumer Cyclical,34536739844,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
HSY,The Hershey Company,Consumer Defensive,28067703344,1,-3.288,-0.038,0.0373,0.9627,-3.25,0.0,-0.9253,0.0,0,0,0,0.0
SBUX,Starbucks Corporation,Consumer Cyclical,107397728620,1,-0.0042,-5.5042,0.9959,0.0041,5.5,0.0,0.9919,0.0,0,0,0,0.0
AWK,"American Water Works Company, Inc.",Utilities,28285122257,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
WMT,Walmart Inc.,Consumer Defensive,411217354926,1,-0.0004,-7.7504,0.9996,0.0004,7.75,0.0,0.9991,0.0,0,0,0,0.0
VLO,Valero Energy Corporation,Energy,32122690550,1,-17.25,0.0,0.0,1.0,-17.25,0.0,-1.0,0.0,0,0,0,0.0
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,22218918231,1,,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,0,0,0,0.0
